fr,en,it,de,es,ko,kana
Nous sommes actuellement à l'étage \v[103].\nlÀ quel environnement souhaitez-vous aller ?,We are currently on floor \v[103].\nlWhich environment may I take you to?,We are currently on floor \v[103].\nlWhich environment may I take you to?,We are currently on floor \v[103].\nlWhich environment may I take you to?,We are currently on floor \v[103].\nlWhich environment may I take you to?,We are currently on floor \v[103].\nlWhich environment may I take you to?,We are currently on floor \v[103].\nlWhich environment may I take you to?
Nous sommes déjà à cet étage.,We are already on that floor?!,We are already on that floor?!,We are already on that floor?!,We are already on that floor?!,We are already on that floor?!,We are already on that floor?!
Certainement.\nlNous descendons.,Certainly.\nlElevator going down.,Certainly.\nlElevator going down.,Certainly.\nlElevator going down.,Certainly.\nlElevator going down.,Certainly.\nlElevator going down.,Certainly.\nlElevator going down.
Certainement.\nlNous montons.,Certainly.\nlElevator going up.,Certainly.\nlElevator going up.,Certainly.\nlElevator going up.,Certainly.\nlElevator going up.,Certainly.\nlElevator going up.,Certainly.\nlElevator going up.
Premier étage : Hall de la Tour.,The first floor has the Main Hall.,The first floor has the Main Hall.,The first floor has the Main Hall.,The first floor has the Main Hall.,The first floor has the Main Hall.,The first floor has the Main Hall.
Deuxième étage : Prairie ruisselante.,The second floor has the Prairie Stream.,The second floor has the Prairie Stream.,The second floor has the Prairie Stream.,The second floor has the Prairie Stream.,The second floor has the Prairie Stream.,The second floor has the Prairie Stream.
Troisième étage : Crique turbulente.,The third floor has the Turbulent Creek.,The third floor has the Turbulent Creek.,The third floor has the Turbulent Creek.,The third floor has the Turbulent Creek.,The third floor has the Turbulent Creek.,The third floor has the Turbulent Creek.
Quatrième étage : Caverne rocailleuse.,The fourth floor has the Rocky Cavern.,The fourth floor has the Rocky Cavern.,The fourth floor has the Rocky Cavern.,The fourth floor has the Rocky Cavern.,The fourth floor has the Rocky Cavern.,The fourth floor has the Rocky Cavern.
Cinquième étage : Marais cendreux.,The fifth floor has the Ashen Marsh.,The fifth floor has the Ashen Marsh.,The fifth floor has the Ashen Marsh.,The fifth floor has the Ashen Marsh.,The fifth floor has the Ashen Marsh.,The fifth floor has the Ashen Marsh.
Sixième étage : Toundra verglacée.,The sixth floor has the Icy Tundra.,The sixth floor has the Icy Tundra.,The sixth floor has the Icy Tundra.,The sixth floor has the Icy Tundra.,The sixth floor has the Icy Tundra.,The sixth floor has the Icy Tundra.
Septième étage : Piste aménagée.,The seventh floor has the Built Road.,The seventh floor has the Built Road.,The seventh floor has the Built Road.,The seventh floor has the Built Road.,The seventh floor has the Built Road.,The seventh floor has the Built Road.
