fr,en,it,de,es,ko,kana
Textes #10,Texts #10,Texts #10,Texts #10,Texts #10,Texts #10,Texts #10
Noms des créatures,Creatures names,Creatures names,Creatures names,Creatures names,Creatures names,Creatures names
Espèces des créatures,Creatures species,Creatures species,Creatures species,Creatures species,Creatures species,Creatures species
Descriptions des créatures,Creatures descriptions,Creatures descriptions,Creatures descriptions,Creatures descriptions,Creatures descriptions,Creatures descriptions
Noms des types,Types names,Types names,Types names,Types names,Types names,Types names
Noms des talents,Abilities names,Abilities names,Abilities names,Abilities names,Abilities names,Abilities names
Descriptions des talents,Abilities descriptions,Abilities descriptions,Abilities descriptions,Abilities descriptions,Abilities descriptions,Abilities descriptions
Noms des attaques,Moves names,Moves names,Moves names,Moves names,Moves names,Moves names
Descriptions des attaques,Moves descriptions,Moves descriptions,Moves descriptions,Moves descriptions,Moves descriptions,Moves descriptions
Noms des natures,Natures names,Natures names,Natures names,Natures names,Natures names,Natures names
Textes #100009,Texts #100009,Texts #100009,Texts #100009,Texts #100009,Texts #100009,Texts #100009
Noms des régions,Regions names,Regions names,Regions names,Regions names,Regions names,Regions names
Magasins,Poké Mart,Poké Mart,Poké Mart,Poké Mart,Poké Mart,Poké Mart
Noms des objets,Items names,Items names,Items names,Items names,Items names,Items names
Descriptions des objets,Items descriptions,Items descriptions,Items descriptions,Items descriptions,Items descriptions,Items descriptions
Menu principal,Main menu,Main menu,Main menu,Main menu,Main menu,Main menu
Noms des poches du sac,Bag pockets names,Bag pockets names,Bag pockets names,Bag pockets names,Bag pockets names,Bag pockets names
Noms des boites du PC,Computer boxes names,Computer boxes names,Computer boxes names,Computer boxes names,Computer boxes names,Computer boxes names
Messages des événements communs,Common events messages,Common events messages,Common events messages,Common events messages,Common events messages,Common events messages
Système de combat,Battle engine,Battle engine,Battle engine,Battle engine,Battle engine,Battle engine
Effets en combat,Battle effects,Battle effects,Battle effects,Battle effects,Battle effects,Battle effects
Interface de combat,Battle user interface,Battle user interface,Battle user interface,Battle user interface,Battle user interface,Battle user interface
Utilisation des capacités,Use of moves,Use of moves,Use of moves,Use of moves,Use of moves,Use of moves
Textes du sac,Bag texts,Bag texts,Bag texts,Bag texts,Bag texts,Bag texts
Équipe de créatures,Creatures team,Creatures team,Creatures team,Creatures team,Creatures team,Creatures team
Apprentissage,Learning,Learning,Learning,Learning,Learning,Learning
Chargement d'une partie,Load,Load,Load,Load,Load,Load
Sauvegarde d'une partie,Save,Save,Save,Save,Save,Save
Statistiques de la créature,Creature summary - Stats,Creature summary - Stats,Creature summary - Stats,Creature summary - Stats,Creature summary - Stats,Creature summary - Stats
Informations de la créature,Creature summary - Information,Creature summary - Information,Creature summary - Information,Creature summary - Information,Creature summary - Information,Creature summary - Information
Noms des classes des dresseurs,Trainers class names,Trainers class names,Trainers class names,Trainers class names,Trainers class names,Trainers class names
Capture d'une créature,Creature catching procedure,Creature catching procedure,Creature catching procedure,Creature catching procedure,Creature catching procedure,Creature catching procedure
Évolution d'une créature,Creature evolving procedure,Creature evolving procedure,Creature evolving procedure,Creature evolving procedure,Creature evolving procedure,Creature evolving procedure
Interface des concours et combats en ligne,Contests and online battles interfaces,Contests and online battles interfaces,Contests and online battles interfaces,Contests and online battles interfaces,Contests and online battles interfaces,Contests and online battles interfaces
Gestion des boîtes du PC,Computer box management,Computer box management,Computer box management,Computer box management,Computer box management,Computer box management
Carte de dresseur,Trainer card,Trainer card,Trainer card,Trainer card,Trainer card,Trainer card
