en,fr,it,es,de,ko,kana
---,---,---,---,---,---,---
Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene
Start,Start,Start,Start,Start,Start,Start
Hub,Hub,Hub,Hub,Hub,Hub,Hub
Elevator (env),Elevator (env),Elevator (env),Elevator (env),Elevator (env),Elevator (env),Elevator (env)
River,River,River,River,River,River,River
Beach,Beach,Beach,Beach,Beach,Beach,Beach
Cave,Cave,Cave,Cave,Cave,Cave,Cave
Marsh,Marsh,Marsh,Marsh,Marsh,Marsh,Marsh
Tundra,Tundra,Tundra,Tundra,Tundra,Tundra,Tundra
Cycling Road,Cycling Road,Cycling Road,Cycling Road,Cycling Road,Cycling Road,Cycling Road
Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ
Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys)
Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory
Library,Library,Library,Library,Library,Library,Library
Studio,Studio,Studio,Studio,Studio,Studio,Studio
Game Corner,Game Corner,Game Corner,Game Corner,Game Corner,Game Corner,Game Corner
Battle Arena,Battle Arena,Battle Arena,Battle Arena,Battle Arena,Battle Arena,Battle Arena
Wifi,Wifi,Wifi,Wifi,Wifi,Wifi,Wifi
Exterior,Exterior,Exterior,Exterior,Exterior,Exterior,Exterior
Route,Route,Route,Route,Route,Route,Route
Basement,Basement,Basement,Basement,Basement,Basement,Basement
Elevator (sys) (Copie),Train,Elevator (sys) (Copie),Elevator (sys) (Copie),Elevator (sys) (Copie),Elevator (sys) (Copie),Elevator (sys) (Copie)
Cycling Road (Copie),Gare,Cycling Road (Copie),Cycling Road (Copie),Cycling Road (Copie),Cycling Road (Copie),Cycling Road (Copie)
